Nome
Abby
Abigail
Abília
Abna
Abril
Acácia
Acélia
Ácil
Açucena
Ada
Adalgisa
Adalgiza
Adália
Adelaide
Adele
Adélia
Adelina
Adelinda
Ádila
Adília
Adolfina
Adosinda
Adriana
Adriane
Adriela
Adriele
Afonsa
Afonsina
Afra
Africana
Áfrika
Ágata
Agatha
Agna
Agnes
Agostinha
Agripina
Águeda
Agustina
Aida
Aidé
Aíko
Aimara

Aimee
Ainoa
Airiza
Aisha
Aitana
Aixa
Akira
Alaia
Alaíde
Alana
Alaina
Alanis
Alba
Albana
Alberta
Albertina
Albina
Alcina
Alcíone
Alda
Aldara
Aldenir
Aldenora
Aldina
Aldora
Alegria
Aleixa
Aleta
Alexa
Alexandra
Alexandrina
Alexia
Aléxia
Alexina
Alexis
Aléxis
Alfreda
Ália
Aliana
Aliça
Alice
Alícia
Alida
Aliénor
Alina
Aline
Alisande
Álison
Alita
Alix
Allegra
Alma
Almara
Almerinda
Almesinda
Almira
Altina
Alva
Alvarina
Alzira
Amabélia
Amabília
Amada
Amaia
Amal
Amália
Amanda
Amandina
Amara
Amarília
Amarílis
Amável
Âmbar
Amber
Ambrósia
Ambrosina
Amélia
Amelie
Amélie
Amelina
América
Amina
Aminata
Amira
Amora
Amorina
Amorzinda
Amy
Ana
Anabel
Anabela
Anaíce
Anaíde
Anair
Anaís
Anaisa
Anaísa
Analdina
Anália
Analice
Analisa
Analu
Anamar
Anamaria
Anastácia
Anastasia
Anatilde
Ancha
Andrea
Andreia
Andreína
Andrelina
Andresa
Ândria
Aneide
Anésia
Ângel
Ângela
Angélica
Angelika
Angelina
Angeline
Angelita
Angie
Ânia
Aniana
Anícia
Anika
Aníria
Anísia
Anita
Anna
Annabelle
Anne
Annie
Anquita
Ansa
Anteia
Antera
Antonela
Antonella
Antónia
Antonieta
Antonina
Anunciação
Anunciada
Anuque
Anusca
Anya
Aparecida
Apolónia
April
Arabela
Araci
Aradna
Argentina
Ária
Ariadna
Ariadne
Ariana
Ariane
Ariel
Ariele
Ariella
Arinda
Arlanda
Arlete
Arlinda
Armanda
Armandina
Arménia
Arminda
Aroa
Artemisa
Artemísia
Aruna
Arya
Ashley
Ásia
Aspásia
Assunção
Assunta
Astrid
Astride
Atena
Atenais
Athena
Átina
Audete
Audrey
Augusta
Aura
Áurea
Aurélia
Aureliana
Aurete
Auriana
Aurora
Ausenda
Auta
Auxília
Ava
Azul
Balbina
Balduína
Bárbara
Bárbora
Bartolina
Basília
Basilissa
Beanina
Béatrice
Beatrix
Beatriz
Bebiana
Bela
Belarmina
Belém
Belina
Belinda
Belisa
Belisária
Bella
Belle
Belmira
Belmonte
Belosinda
Benedita
Benice
Benícia
Benigna
Benilde
Benita
Benjamina
Benvinda
Berengária
Berenice
Bernadete
Bernarda
Bernardete
Bérnia
Berta
Bertila
Bertilde
Bertina
Betânia
Bethany
Bétia
Betina
Betsabé
Bia
Biana
Bianca
Bianka
Bibiana
Bina
Bitia
Blandina
Blásia
Bonifácia
Branca
Brásia
Brázia
Brena
Brenda
Briana
Brice
Brícia
Brígida
Brigite
Briolanja
Briosa
Brites
Britney
Brizida
Bruna
Brunilde
Cácia
Cacilda
Caetana
Caia
Calila
Camélia
Camila
Candice
Cândida
Candy
Cânia
Carela
Cáren
Cárin
Carina
Carisa
Carísia
Carissa
Cárita
Carla
Carlinda
Carlota
Carlotta
Carmel
Carmela
Carmélia
Carmelina
Carmelinda
Carmelita
Cármen
Carmen
Carmezinda
Cármina
Carmina
Carminda
Carminho
Carmo
Carmorinda
Carol
Carole
Carolina
Caroline
Carsta
Casimira
Cassandra
Cássia
Cassilda
Casta
Castelina
Castorina
Cataleia
Catalina
Catarina
Caterina
Catherina
Catherine
Cátia
Catila
Catrina
Cayetana
Cecília
Celeste
Célia
Celina
Celine
Celinia
Celisia
Celsa
Cereja
Ceres
Cesaltina
Cesária
Cesarina
Chanda
Chanel
Chantal
Charlene
Charlize
Charlotte
Cheila
Chelsea
Chema
Chen
Chi
Chiara
Chloe
Chloé
Ciana
Ciara
Cibele
Cidália
Cidalina
Cidalisa
Cinara
Cínara
Cinderela
Cindy
Cinira
Cíntia
Cipora
Circe
Círia
Cirila
Cita
Cizina
Claire
Clara
Clare
Clarice
Clarina
Clarinda
Clarinha
Clarissa
Clarisse
Claudemira
Cláudia
Claudiana
Claudina
Claudine
Cleia
Cleide
Clélia
Clemência
Clementina
Clementine
Cleo
Cléo
Cleodice
Cleonice
Cleópatra
Clésia
Clícia
Climénia
Clívia
Cloe
Cloé
Clorinda
Clotilde
Colete
Conceição
Concha
Consolação
Constança
Constânça
Constance
Constância
Constantina
Constanza
Consuelo
Cora
Coraima
Corália
Cordélia
Corina
Corine
Córita
Cornélia
Cosete
Cremilda
Cremilde
Crestila
Cris
Crisália
Crisálida
Crisanta
Crisante
Crisna
Cristal
Cristela
Cristele
Cristene
Cristiana
Cristina
Cristolinda
Crystal
Cyara
Cynthia
Cyntia
Custódia
Dádiva
Daenerys
Dafne
Dagmar
Dahlia
Daina
Daisi
Daisy
Dakota
Dália
Daliana
Dalida
Dalila
Dalinda
Dalva
Dámaris
Dana
Dânia
Daniana
Daniela
Daniella
Danielle
Danika
Danila
Dara
Darci
Darcília
Dária
Dariana
Darlene
Darnela
Davina
Davínia
Débora
Deborah
Décia
Deise
Dejanira
Dele
Delfina
Délia
Deliana
Delilah
Delisa
Delmina
Delminda
Delmira
Delza
Demelza
Deméter
Demétria
Denisa
Denise
Deodata
Deodete
Deolinda
Deonilde
Deotila
Deótila
Derocila
Desidéria
Desiree
Destiny
Deusa
Dialina
Diamantina
Diana
Diane
Dianna
Diara
Dídia
Didiana
Digna
Diliana
Dilma
Dilsa
Dina
Diná
Dinamene
Dinarda
Dinarta
Dineia
Dinora
Diomar
Dione
Dionilde
Dionísia
Dirce
Dircea
Dircila
Disa
Ditza
Diva
Diza
Djamila
Dólique
Dolores
Domenica
Domingas
Dominica
Dominika
Domitila
Domitília
Dona
Donatella
Donatila
Donzélia
Donzília
Dora
Doralice
Dores
Doriana
Dorina
Dorinda
Dorine
Dóris
Dorisa
Doroteia
Drusila
Duana
Duartina
Dulce
Dulcelina
Dulcídia
Dulcina
Dulcineia
Dúlia
Duna
Dúnia
de São Luís 
dos Santos
de São Luís
do Socorro
da Agonia
do Amparo
dos Anjos
do Almurtão
de Begonha
do Céu
da Cruz
de Deus
de Fafe
do Livramento
dos Mártires
dos Milagres
do Nascimento
do Natal
de Pádua
do Paraíso
dos Prazeres
de Sales
do Rosário
Eárine
Ecaterina
Eda
Eden
Edéria
Edina
Edine
Edite
Edith
Edma
Edmunda
Edna
Eduarda
Eduina
Eglantina
Ekaterina
Elaina
Elaine
Elana
Elca
Elda
Élea
Eleanor
Electra
Eleia
Eleine
Elena
Eleni
Eleonor
Eleonora
Eléonore
Élia
Eliana
Eliane
Elícia
Eliete
Élin
Elina
Eline
Elines 
Elis
Elisa
Elisabeta
Elisabete
Elisabeth
Elisama
Elise
Eliseba
Elisete
Elísia
Elizabete
Elizabeth
Elize
Ella
Elle
Ellen
Ellie
Ellie-Rosa
Elma
Elmira
Eloá
Elodia
Elódia
Eloisa
Eloise
Elsa
Elsinda
Eluína
Elva
Elvina
Elvira
Elza
Ema
Emanuela
Emanuella
Emi
Emie
Emídia
Emília
Emiliana
Emilie
Emily
Emma
Emmy
Encarnação
Engelécia
Engrácia
Énia
Enide
Enilda
Éola
Eponina
Ercília
Erica
Érica
Erika
Erin
Éris
Ermelinda
Ermengarda
Erméria
Ernestina
Ersília
Esménia
Esmeralda
Esméria
Especiosa
Esperança
Espírito Santo
Estéfana
Estefânia
Estela
Estelle
Ester
Esther
Estrela
Estrella
Estrelle
Etel
Étel
Etelca
Etelvina
